ID	Player	Wins	Losses	KDA	Kills	Deaths	Assists	LH	DN	GPM	XPM
102946451	toth	2	0	5.25	10.0	4.0	11.0	148.5	26.0	508.0	601.5	
53325224	.teekay	2	1	5.1	9.0	3.3333333333333335	8.0	206.0	18.333333333333332	402.3333333333333	439.3333333333333	
111436399	aqua	2	4	4.0	9.166666666666666	3.8333333333333335	6.166666666666667	252.83333333333334	18.0	475.5	563.5	
183871463	it me pete :)	2	2	3.9047619047619047	4.25	5.25	16.25	28.25	2.5	266.75	371.5	
51310202	Penella	2	0	3.272727272727273	2.0	5.5	16.0	14.5	6.5	248.0	354.0	
59738349	サラミ	3	4	1.953125	3.7142857142857144	9.142857142857142	14.142857142857142	58.857142857142854	6.142857142857143	264.2857142857143	361.57142857142856	
50397057	USDanny	3	6	1.5352112676056338	2.5555555555555554	7.888888888888889	9.555555555555555	93.55555555555556	6.666666666666667	329.77777777777777	390.0	
131957590	Mr.Clean	2	5	2.2888888888888888	4.142857142857143	6.428571428571429	10.571428571428571	144.14285714285714	5.857142857142857	347.85714285714283	386.57142857142856	
49166248	Cement	3	10	1.2380952380952381	1.3076923076923077	8.076923076923077	8.692307692307692	13.923076923076923	1.3076923076923077	198.0	268.0769230769231	
115031698	Coahre	1	6	2.5714285714285716	6.428571428571429	5.0	6.428571428571429	202.28571428571428	17.571428571428573	445.57142857142856	533.7142857142857	
391038209	i am the one they call …	1	7	2.5454545454545454	5.75	5.5	8.25	238.375	13.25	450.875	548.125	
46478300	aponzeus	1	2	2.2222222222222223	2.3333333333333335	6.0	11.0	33.0	2.3333333333333335	260.6666666666667	288.0	
89889507	Exodia, The Forbidden O…	1	7	1.8461538461538463	3.25	4.875	5.75	186.0	12.375	404.75	493.0	
139916652	ʀᴀᴠɴ	1	8	1.459016393442623	3.3333333333333335	6.777777777777778	6.555555555555555	48.888888888888886	1.0	241.33333333333334	315.8888888888889	
382532828	Grumio, God of Tilt	1	10	1.0909090909090908	2.1818181818181817	9.0	7.636363636363637	92.54545454545455	8.818181818181818	314.6363636363636	378.09090909090907	
113600904	bongo	0	2	1.5925925925925926	2.5	13.5	19.0	87.5	6.0	331.0	467.0	
430764681	Effjai, Destroyer of Ro…	0	1	1.0	1.0	2.0	1.0	64.0	7.0	225.0	262.0	
133866164	WRYYYYYYYTARD	0	2	0.8	1.0	10.0	7.0	17.5	0.5	197.5	257.5	
81341274	MG.fL4w3d	0	2	1.85	4.0	10.0	14.5	163.0	4.5	382.0	465.5	
109415737	Schlesh	0	1	4.428571428571429	8.0	7.0	23.0	453.0	4.0	508.0	604.0	
118550103	Draiden	0	1	0.8181818181818182	2.0	11.0	7.0	114.0	16.0	304.0	394.0	
904350779	Elidoto	0	2	1.5	7.0	7.0	3.5	151.5	4.5	459.0	557.0	
111862081	ARG	0	1	0.21428571428571427	2.0	14.0	1.0	13.0	3.0	175.0	265.0	
